MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO
11088,28,131,PI,SÃO JOÃO DA CANABRAVA,1015,1053541,164FC8F9,20220921T120700,048406458372707202779375,20221002T080001,20221002T193321,411,343,282,42
11088,28,144,PI,SÃO JOÃO DA CANABRAVA,1040,1154176,164FC8F9,20220921T133500,806082612548702415975637,20221002T080001,20221002T192244,372,307,285,11
11096,24,62,PI,JOSÉ DE FREITAS,1317,2199092,D4717441,20220928T104200,168974803899245970325051,20221002T080001,20221002T181644,353,313,269,27
11096,24,64,PI,JOSÉ DE FREITAS,1309,2203460,D4717441,20220928T105300,057863915888290453891343,20221002T080001,20221002T202055,403,324,274,35
11096,24,80,PI,JOSÉ DE FREITAS,1414,2203112,D4717441,20220928T141600,168974721199694570448791,20221002T080001,20221002T181634,335,296,275,13
11096,24,85,PI,JOSÉ DE FREITAS,1392,2204650,D4717441,20220928T144000,593217702442978374579172,20221002T080001,20221002T180504,322,279,262,7
11096,24,86,PI,JOSÉ DE FREITAS,1449,2192478,D4717441,20220928T144300,734631959256329525043496,20221002T081133,20221002T191933,378,327,279,22
11096,24,87,PI,JOSÉ DE FREITAS,1422,2205705,D4717441,20220928T145600,340792670517230106651526,20221002T080001,20221002T183757,367,300,281,4
11096,24,88,PI,JOSÉ DE FREITAS,1473,2195142,D4717441,20220928T150300,472005918530818434213840,20221002T080001,20221002T182007,414,316,269,20
11096,24,89,PI,JOSÉ DE FREITAS,1406,2196063,D4717441,20220928T150900,128570678395886427483571,20221002T080001,20221002T173755,328,294,261,15
11096,24,91,PI,JOSÉ DE FREITAS,1457,2205533,D4717441,20220928T151900,583116323041434776086022,20221002T080001,20221002T192120,403,339,306,13
11096,24,98,PI,JOSÉ DE FREITAS,1520,2196368,D5B33472,20220928T154000,825540331930311275491231,20221002T080001,20221002T183826,343,293,255,19
11118,46,65,PI,LANDRI SALES,1015,1799356,98DE9A66,20220927T155200,314125289918945859013137,20221002T080001,20221002T193642,440,324,264,45
11118,46,76,PI,LANDRI SALES,1031,1674941,93C4ECFF,20220927T162600,647458794428397728657087,20221002T080001,20221002T173221,422,310,261,34
11150,27,162,PI,LUZILÂNDIA,1325,1613547,BDCCA4AE,20220927T153800,755766480683628513770398,20221002T080001,20221002T200741,404,325,265,31
11134,91,63,PI,LUIS CORREIA,1228,1116206,876CD5FF,20220929T135100,110785866088633075106491,20221002T080001,20221002T204048,400,328,262,47
11134,91,76,PI,LUIS CORREIA,1350,1039570,876CD5FF,20220929T153100,484422638325046744752300,20221002T080001,20221002T205154,415,341,273,40
11134,91,89,PI,LUIS CORREIA,1473,1182022,2DB4F026,20220929T153200,575331121928208194665931,20221002T080001,20221002T191849,407,322,256,33
11231,17,120,PI,MIGUEL ALVES,1414,2196168,6074290A,20220922T200600,835967060613368673264341,20221002T080001,20221002T170740,410,283,264,10
11231,17,67,PI,MIGUEL ALVES,1260,2203240,47F6690B,20220922T162400,765260959370929405996379,20221002T080001,20221002T200436,367,271,252,5
11312,35,123,PI,MONTE ALEGRE DO PIAUÍ,1074,1801661,AB722563,20220929T151200,592935155085049795968628,20221002T080001,20221002T222218,418,345,292,34
11339,61,330,PI,NAZARÉ DO PIAUÍ,1023,1336770,BDE1BFA2,20220921T084800,742927221753422126445155,20221002T080001,20221002T193745,398,311,254,35
11339,61,333,PI,NAZARÉ DO PIAUÍ,1023,1322232,BDE1BFA2,20220921T085600,924745732771558485381091,20221002T080001,20221002T193003,395,321,269,37
11339,61,335,PI,NAZARÉ DO PIAUÍ,1031,1800567,BDE1BFA2,20220921T090800,985351012777416837049059,20221002T080449,20221002T193329,401,297,255,30
11339,61,356,PI,NAZARÉ DO PIAUÍ,1120,1800984,BDE1BFA2,20220921T110500,975250254976387414699698,20221002T080001,20221002T202316,378,323,300,7
11371,18,35,PI,NOVO ORIENTE DO PIAUÍ,1015,1277404,ERROR,20220922T085600,901785661795629644267883,20221002T080001,20221002T203440,400,337,257,45
11371,18,38,PI,NOVO ORIENTE DO PIAUÍ,1015,1326756,ERROR,20220922T092300,932088025798280997519877,20221002T080001,20221002T212027,402,327,257,51
1139,7,71,AC,FEIJÓ,1252,1614410,0E902678,20220921T161900,821259421980153985988220,20221002T060001,20221002T152556,308,276,271,3
11410,12,5,PI,DOMINGOS MOURÃO,1058,2196695,A0E0FA78,20220921T190700,207949758482631111931363,20221002T080001,20221002T182011,388,311,265,30
