MUNICIPIO,ESTADO,POPULACAOESTIMADA,MARGEMDECORTE,POPULACAOAPTA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
SÃO JOÃO DA FRONTEIRA,PI,5008,22.29,3892,4955,3914,665
COCAL,PI,26201,22.29,20361,17002,12413,3011
COCAL DOS ALVES,PI,5341,22.29,4150,4755,3987,406
SIGEFREDO PACHECO,PI,9506,22.29,7387,6996,5588,902
CONCEIÇÃO DO CANINDÉ,PI,4923,22.29,3826,3845,2968,464
SÃO LOURENÇO DO PIAUÍ,PI,4899,22.29,3807,4142,3555,286
CORRENTE,PI,24518,22.29,19053,15971,11012,3570
BRASILÉIA,AC,19065,27.12,13895,14380,4158,9019
EPITACIOLÂNDIA,AC,13434,27.12,9791,10152,2665,6622
VÁRZEA BRANCA,PI,5178,22.29,4024,3757,3219,303
CRISTALÂNDIA DO PIAUÍ,PI,7800,22.29,6061,4398,3478,553
BARRA D'ALCÂNTARA,PI,3774,22.29,2933,2662,2111,328
CRISTINO CASTRO,PI,9518,22.29,7396,6221,4773,1026
BELA VISTA DO PIAUÍ,PI,3344,22.29,2599,3081,2310,321
CURIMATÁ,PI,10360,22.29,8051,7055,5095,1456
BREJO DO PIAUÍ,PI,3181,22.29,2472,3116,2743,252
DEMERVAL LOBÃO,PI,12806,22.29,9952,10105,7385,1879
PORTO WALTER,AC,8170,27.12,5954,5655,2660,2143
BOA HORA,PI,6086,22.29,4729,5050,3817,769
DOM EXPEDITO LOPES,PI,6532,22.29,5076,5410,4177,837
DOM INOCÊNCIO,PI,10329,22.29,8027,5843,5054,426
SÃO RAIMUNDO NONATO,PI,30852,22.29,23975,21775,17574,2851
ELESBÃO VELOSO,PI,14174,22.29,11015,9833,7974,1100
CAPITÃO GERVÁSIO OLIVEIRA,PI,3865,22.29,3003,3110,2730,212
ELISEU MARTINS,PI,4722,22.29,3669,2892,2217,444
CAMPO GRANDE DO PIAUÍ,PI,5645,22.29,4387,4085,3279,396
ESPERANTINA,PI,36190,22.29,28123,24118,16767,5323
CAMPO LARGO DO PIAUÍ,PI,6726,22.29,5227,4246,3232,649
FLORES DO PIAUÍ,PI,4468,22.29,3472,3241,2525,446
CRUZEIRO DO SUL,AC,73948,27.12,53893,46647,10770,30977
CURRAIS,PI,4538,22.29,3526,4385,3492,644
FLORIANO,PI,56090,22.29,43588,35748,25485,7249
GEMINIANO,PI,5255,22.29,4084,4913,3955,576
FRANCINÓPOLIS,PI,5292,22.29,4112,3366,2783,342
GUARIBAS,PI,4343,22.29,3375,3266,2966,180
FRANCISCO AYRES,PI,5017,22.29,3899,3607,2863,440
RODRIGUES ALVES,AC,12428,27.12,9058,9094,1839,6551
ILHA GRANDE,PI,8420,22.29,6543,7240,5437,1182
PARNAÍBA,PI,140839,22.29,109446,90580,55401,26264
FRANCISCO SANTOS,PI,8293,22.29,6444,5580,4326,723
SÃO JOÃO DA CANABRAVA,PI,4364,22.29,3391,3898,3257,428
JUREMA,PI,4388,22.29,3410,3875,3240,364
FRONTEIRAS,PI,11054,22.29,8590,7674,5857,1276
LAGOA DE SÃO FRANCISCO,PI,6520,22.29,5067,4575,3633,591
GILBUÉS,PI,10351,22.29,8044,6476,4997,1020
MORRO CABEÇA NO TEMPO,PI,4241,22.29,3296,2886,2225,392
GUADALUPE,PI,9587,22.29,7450,6377,4828,1064
MÂNCIO LIMA,AC,13785,27.12,10047,10566,3236,6469
HUGO NAPOLEÃO,PI,3674,22.29,2855,3493,2701,544
PAQUETÁ,PI,4531,22.29,3521,3234,2579,431
PICOS,PI,70450,22.29,54747,45176,31320,10157
INHUMA,PI,14973,22.29,11636,9982,7818,1362
IPIRANGA DO PIAUÍ,PI,9354,22.29,7269,6066,5007,597
NOVA SANTA RITA,PI,4284,22.29,3329,3350,2942,222
ISAÍAS COELHO,PI,7790,22.29,6054,5079,4322,348
SÃO JOÃO DO ARRAIAL,PI,7081,22.29,5503,5698,3964,1338
ITAINÓPOLIS,PI,11084,22.29,8613,7456,5746,1038
ITAUEIRA,PI,10558,22.29,8205,6966,5129,1141
JAICÓS,PI,16826,22.29,13075,10240,7744,1402
JORDÃO,AC,6059,27.12,4416,4146,2213,1515
