MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
CHAVAL,CE,12215,8410,6493,1147
COREAÚ,CE,21171,15753,11123,2680
CRATEÚS,CE,72386,46471,33294,8408
CAUCAIA,CE,316906,203023,114030,63209
FARIAS BRITO,CE,19244,13751,11245,1307
CRATO,CE,111198,79996,63197,10330
FRECHEIRINHA,CE,12830,10540,7098,2135
GENERAL SAMPAIO,CE,6540,6063,4645,955
GRANJA,CE,51410,34405,27182,3743
GRANJEIRO,CE,4931,4445,3705,454
GROAÍRAS,CE,9456,7791,4665,1859
RIO BRANCO,AC,290639,210227,53519,130246
GUARACIABA DO NORTE,CE,36705,25472,17541,4918
HIDROLÂNDIA,CE,18534,11842,8477,2031
IBARETAMA,CE,12728,10344,7809,1615
IBIAPINA,CE,23088,14946,9813,2876
ICÓ,CE,63262,38571,28700,6339
IGUATU,CE,92260,57933,44273,8838
INDEPENDÊNCIA,CE,25413,16621,11777,3433
IPAUMIRIM,CE,11591,7452,5875,957
IPU,CE,39438,25367,18862,4090
IPUEIRAS,CE,38044,23754,17073,4002
PORANGA,CE,11905,7277,5873,806
IRACEMA,CE,14313,9221,7258,1334
IRAUÇUBA,CE,21921,15645,11897,2320
ITAIÇABA,CE,7462,5877,3852,1377
ITAPAJÉ,CE,45426,32176,19627,9549
ITAPIÚNA,CE,17602,12893,9107,2487
ITAPIPOCA,CE,107281,79798,57530,14531
ITATIRA,CE,17689,14266,11115,2019
JAGUARETAMA,CE,17851,12319,9622,1625
FORTALEZA,CE,2431415,1559702,802009,530162
JAGUARIBARA,CE,9780,7017,5341,1170
JAGUARIBE,CE,35237,22445,17033,3576
PEREIRO,CE,15291,11385,8957,1417
JAGUARUANA,CE,30965,23113,14582,5735
JARDIM,CE,25853,16421,12943,1836
JATI,CE,7270,5379,4221,651
JUCÁS,CE,22890,14996,10852,2401
JUAZEIRO DO NORTE,CE,242139,154424,109039,29937
LAVRAS DA MANGABEIRA,CE,29872,18242,13969,2264
LIMOEIRO DO NORTE,CE,53289,38766,27138,7555
SENA MADUREIRA,AC,34230,22457,5811,14317
MARCO,CE,23107,18170,8924,7198
MARANGUAPE,CE,102982,68296,41819,19594
MARTINÓPOLE,CE,10304,8526,6698,1062
MASSAPÊ,CE,33256,25443,16752,5085
SENADOR SÁ,CE,6274,5652,3949,1063
MAURITI,CE,41679,27671,20297,4792
MILAGRES,CE,27355,17522,14369,1622
MIRAÍMA,CE,12131,9577,7647,1149
MISSÃO VELHA,CE,33690,23884,18688,3188
MOMBAÇA,CE,44364,24574,18678,3726
PIQUET CARNEIRO,CE,14736,9912,7923,1295
TARAUACÁ,AC,32171,19302,8042,9146
MONSENHOR TABOSA,CE,16557,11349,8699,1666
MORAÚJO,CE,8005,6058,4373,1038
MORADA NOVA,CE,61751,45317,30530,9482
IBICUITINGA,CE,11000,10332,7386,2119
MORRINHOS,CE,21111,13793,6956,5599
SANTANA DO ACARAÚ,CE,28741,21477,15633,3683
MUCAMBO,CE,14007,9564,6824,1476
MULUNGU,CE,10975,7205,5192,1435
NOVA OLINDA,CE,12974,9972,7725,1428
NOVA RUSSAS,CE,30615,18939,12565,4407
NOVO ORIENTE,CE,27418,17408,13453,2362
XAPURI,AC,14314,9683,3774,5142
ORÓS,CE,21268,13867,10357,2379
PACAJUS,CE,54881,44337,25491,13144
PACATUBA,CE,65772,44772,26037,13697
PACOTI,CE,11097,8510,6134,1429
PACUJÁ,CE,5950,4891,3788,441
PALHANO,CE,8797,7572,4704,1924
PALMÁCIA,CE,10352,7682,5469,1508
PARACURU,CE,30665,26088,16787,6575
PARAMBU,CE,30596,20427,13672,4622
PARAMOTI,CE,11573,8244,6159,1404
PLÁCIDO DE CASTRO,AC,17258,9680,2442,6209
PEDRA BRANCA,CE,40762,26013,21436,2586
PENAFORTE,CE,7715,6701,5128,891
PENTECOSTE,CE,33717,26519,19117,5392
PORTEIRAS,CE,14792,10929,8897,1149
POTENGI,CE,9670,6043,5108,443
QUIXADÁ,CE,76105,48974,29780,14601
QUIXERAMOBIM,CE,68966,47544,35247,7634
QUIXERÉ,CE,18652,14850,10463,2874
REDENÇÃO,CE,25702,19096,12686,4248
RERIUTABA,CE,19310,12277,9064,1672
RUSSAS,CE,63975,47763,31463,11174
SENADOR GUIOMARD,AC,18863,14220,3523,9134
SABOEIRO,CE,16282,9507,7398,1329
SANTANA DO CARIRI,CE,17574,10854,9209,893
SALITRE,CE,15798,11019,8462,1388
SÃO BENEDITO,CE,43077,28687,19345,5618
SÃO GONÇALO DO AMARANTE,CE,40312,38834,23181,11387
SÃO JOÃO DO JAGUARIBE,CE,8310,4895,3730,637
SÃO LUÍS DO CURU,CE,12052,9330,6449,2006
MANOEL URBANO,AC,7148,5760,2095,3141
SENADOR POMPEU,CE,25290,16774,11280,3533
SOLONÓPOLE,CE,17340,11846,9461,1501
DEPUTADO IRAPUAN PINHEIRO,CE,9108,6239,5050,589
TABULEIRO DO NORTE,CE,28291,20216,15075,3278
TAMBORIL,CE,25459,17008,12596,2558
SOBRAL,CE,176895,124084,65886,29266
FORQUILHA,CE,20181,16559,9559,3817
TAUÁ,CE,54273,36319,22509,8776
TIANGUÁ,CE,64612,46934,27322,13548
ASSIS BRASIL,AC,5351,4952,1943,2690
TRAIRI,CE,48620,37895,25816,8105
UBAJARA,CE,29569,20794,12615,5030
UMARI,CE,7591,4949,3521,872
URUBURETAMA,CE,19218,14799,10153,3243
URUOCA,CE,12973,8780,6542,1531
VÁRZEA ALEGRE,CE,37740,25222,19451,3524
VIÇOSA DO CEARÁ,CE,52855,36736,26115,6512
AMONTADA,CE,37513,27102,19707,5010
CROATÁ,CE,17317,11149,8365,1467
MARACANAÚ,CE,197301,148636,82217,48379
CRUZ,CE,22144,16792,10286,4717
JARU,RO,52453,30026,6846,20725
ICAPUÍ,CE,18186,14239,9430,3605
ITAREMA,CE,34296,24772,14884,7199
MILHÃ,CE,14111,8477,6782,1048
TENENTE LAURENTINO CRUZ,RN,5120,3999,2724,933
SÃO VICENTE,RN,5819,4453,2967,1063
PARAIPABA,CE,28192,21824,12787,6860
ACARI,RN,10911,7415,4703,1968
CAIÇARA DO NORTE,RN,6384,4300,2746,1184
AFONSO BEZERRA,RN,10339,7983,5383,1884
SÃO MIGUEL DO GOSTOSO,RN,8810,7245,4568,2047
ÁGUA NOVA,RN,2843,2333,1914,244
ITAJÁ,RN,6410,5319,3661,1255
ALEXANDRIA,RN,13729,9117,7344,1129
ALMINO AFONSO,RN,4948,4145,3196,627
ALTO DO RODRIGUES,RN,11443,9177,6989,1522
FERNANDO PEDROZA,RN,2876,2693,1793,663
ANGICOS,RN,11227,7672,4942,2043
SANTANA DO MATOS,RN,14312,9647,7044,1679
MAJOR SALES,RN,3459,2239,1771,315
PARANÁ,RN,3886,3526,2979,338
ANTÔNIO MARTINS,RN,6997,4854,3915,602
VENHA-VER,RN,3494,2929,2329,293
APODI,RN,34632,24760,17646,4412
SERRINHA DOS PINTOS,RN,4360,3424,2669,478
AREIA BRANCA,RN,24398,15885,10051,4134
SANTA MARIA,RN,4659,3746,2560,918
CAMPO GRANDE,RN,8936,7089,4692,1747
RIO DO FOGO,RN,9753,8738,5104,2913
BAÍA FORMOSA,RN,8466,5652,3327,1806
BARCELONA,RN,3928,3763,2201,1254
JUNDIÁ,RN,3517,3471,2176,950
BENTO FERNANDES,RN,5006,4045,3026,725
BOM JESUS,RN,8478,7050,4295,2230
BREJINHO,RN,11135,7661,4860,2010
MONTE ALEGRE,RN,20590,14128,8366,4402
CAICÓ,RN,60656,37163,23044,10816
CAMPO REDONDO,RN,10462,7080,5511,1059
CANGUARETAMA,RN,29334,19103,13523,3920
CARAÚBAS,RN,19739,15456,11418,2707
CARNAÚBA DOS DANTAS,RN,6836,4997,2535,1750
CARNAUBAIS,RN,9284,7220,5192,1342
CERRO CORÁ,RN,10890,6887,4974,1229
LAGOA NOVA,RN,13167,10608,7333,2291
CORONEL EZEQUIEL,RN,5255,3674,2609,662
CEARÁ-MIRIM,RN,65450,46552,31891,10602
CORONEL JOÃO PESSOA,RN,4827,3250,2507,450
CRUZETA,RN,7825,5457,3870,1084
CURRAIS NOVOS,RN,42066,24259,14181,7523
DOUTOR SEVERIANO,RN,6431,4656,3764,544
SÃO MIGUEL,RN,22579,14163,10587,2076
ENCANTO,RN,5158,3973,3231,472
EQUADOR,RN,5875,3851,2459,999
ESPÍRITO SANTO,RN,10132,5538,3077,2052
GOIANINHA,RN,20347,17193,10335,5199
TIBAU DO SUL,RN,10959,10834,6634,3302
FLORÂNIA,RN,8313,6746,4771,1428
FRANCISCO DANTAS,RN,2928,2302,1778,350
GALINHOS,RN,2149,1884,1016,709
SÃO BENTO DO NORTE,RN,3529,3359,2344,733
