MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
IPUEIRAS,CE,38064,23754,17073,4002
PORANGA,CE,12358,7277,5873,806
IRACEMA,CE,14351,9221,7258,1334
IRAUÇUBA,CE,24450,15645,11897,2320
ITAIÇABA,CE,7904,5877,3852,1377
ITAPAJÉ,CE,53448,32176,19627,9549
ITAPIÚNA,CE,20653,12893,9107,2487
ITAPIPOCA,CE,131687,79798,57530,14531
ITATIRA,CE,22018,14266,11115,2019
JAGUARETAMA,CE,18133,12319,9622,1625
FORTALEZA,CE,2703391,1559702,802009,530162
JAGUARIBARA,CE,11580,7017,5341,1170
JAGUARIBE,CE,34592,22445,17033,3576
PEREIRO,CE,16356,11385,8957,1417
JAGUARUANA,CE,33960,23113,14582,5735
JARDIM,CE,27187,16421,12943,1836
JATI,CE,8150,5379,4221,651
JUCÁS,CE,24949,14996,10852,2401
JUAZEIRO DO NORTE,CE,278264,154424,109039,29937
LAVRAS DA MANGABEIRA,CE,31476,18242,13969,2264
LIMOEIRO DO NORTE,CE,60232,38766,27138,7555
SENA MADUREIRA,AC,47168,22457,5811,14317
MARCO,CE,27822,18170,8924,7198
MARANGUAPE,CE,131677,68296,41819,19594
MARTINÓPOLE,CE,11407,8526,6698,1062
MASSAPÊ,CE,39341,25443,16752,5085
SENADOR SÁ,CE,7758,5652,3949,1063
MAURITI,CE,48370,27671,20297,4792
MILAGRES,CE,27413,17522,14369,1622
MIRAÍMA,CE,13965,9577,7647,1149
MISSÃO VELHA,CE,35566,23884,18688,3188
MOMBAÇA,CE,43917,24574,18678,3726
PIQUET CARNEIRO,CE,17210,9912,7923,1295
TARAUACÁ,AC,43730,19302,8042,9146
MONSENHOR TABOSA,CE,17264,11349,8699,1666
MORAÚJO,CE,8833,6058,4373,1038
MORADA NOVA,CE,61590,45317,30530,9482
IBICUITINGA,CE,12730,10332,7386,2119
MORRINHOS,CE,22830,13793,6956,5599
SANTANA DO ACARAÚ,CE,32851,21477,15633,3683
MUCAMBO,CE,14561,9564,6824,1476
MULUNGU,CE,11056,7205,5192,1435
NOVA OLINDA,CE,15798,9972,7725,1428
NOVA RUSSAS,CE,32487,18939,12565,4407
NOVO ORIENTE,CE,28737,17408,13453,2362
XAPURI,AC,19866,9683,3774,5142
ORÓS,CE,21342,13867,10357,2379
PACAJUS,CE,74145,44337,25491,13144
PACATUBA,CE,85647,44772,26037,13697
PACOTI,CE,12313,8510,6134,1429
PACUJÁ,CE,6565,4891,3788,441
PALHANO,CE,9458,7572,4704,1924
PALMÁCIA,CE,13553,7682,5469,1508
PARACURU,CE,35526,26088,16787,6575
PARAMBU,CE,31391,20427,13672,4622
PARAMOTI,CE,12276,8244,6159,1404
PLÁCIDO DE CASTRO,AC,20147,9680,2442,6209
PEDRA BRANCA,CE,43359,26013,21436,2586
PENAFORTE,CE,9207,6701,5128,891
PENTECOSTE,CE,38045,26519,19117,5392
PORTEIRAS,CE,14920,10929,8897,1149
POTENGI,CE,11165,6043,5108,443
QUIXADÁ,CE,88899,48974,29780,14601
QUIXERAMOBIM,CE,82455,47544,35247,7634
QUIXERÉ,CE,22432,14850,10463,2874
REDENÇÃO,CE,29238,19096,12686,4248
RERIUTABA,CE,18279,12277,9064,1672
RUSSAS,CE,79550,47763,31463,11174
SENADOR GUIOMARD,AC,23446,14220,3523,9134
SABOEIRO,CE,15757,9507,7398,1329
SANTANA DO CARIRI,CE,17726,10854,9209,893
SALITRE,CE,16714,11019,8462,1388
SÃO BENEDITO,CE,48354,28687,19345,5618
SÃO GONÇALO DO AMARANTE,CE,49306,38834,23181,11387
SÃO JOÃO DO JAGUARIBE,CE,7557,4895,3730,637
SÃO LUÍS DO CURU,CE,13086,9330,6449,2006
MANOEL URBANO,AC,9701,5760,2095,3141
SENADOR POMPEU,CE,25418,16774,11280,3533
SOLONÓPOLE,CE,18389,11846,9461,1501
DEPUTADO IRAPUAN PINHEIRO,CE,9698,6239,5050,589
TABULEIRO DO NORTE,CE,32079,20216,15075,3278
TAMBORIL,CE,26199,17008,12596,2558
SOBRAL,CE,212437,124084,65886,29266
FORQUILHA,CE,24680,16559,9559,3817
TAUÁ,CE,59259,36319,22509,8776
TIANGUÁ,CE,77111,46934,27322,13548
ASSIS BRASIL,AC,7649,4952,1943,2690
TRAIRI,CE,56653,37895,25816,8105
UBAJARA,CE,35295,20794,12615,5030
UMARI,CE,7740,4949,3521,872
URUBURETAMA,CE,22223,14799,10153,3243
URUOCA,CE,13988,8780,6542,1531
VÁRZEA ALEGRE,CE,41078,25222,19451,3524
VIÇOSA DO CEARÁ,CE,61916,36736,26115,6512
AMONTADA,CE,44195,27102,19707,5010
CROATÁ,CE,18201,11149,8365,1467
MARACANAÚ,CE,230986,148636,82217,48379
CRUZ,CE,25121,16792,10286,4717
JARU,RO,51469,30026,6846,20725
ICAPUÍ,CE,20183,14239,9430,3605
ITAREMA,CE,42595,24772,14884,7199
MILHÃ,CE,13129,8477,6782,1048
TENENTE LAURENTINO CRUZ,RN,6085,3999,2724,933
SÃO VICENTE,RN,6476,4453,2967,1063
PARAIPABA,CE,33232,21824,12787,6860
ACARI,RN,11106,7415,4703,1968
SERRA DO MEL,RN,12225,10039,6088,3079
CAIÇARA DO NORTE,RN,6572,4300,2746,1184
AFONSO BEZERRA,RN,11024,7983,5383,1884
SÃO MIGUEL DO GOSTOSO,RN,10441,7245,4568,2047
ÁGUA NOVA,RN,3293,2333,1914,244
ITAJÁ,RN,7641,5319,3661,1255
ALEXANDRIA,RN,13529,9117,7344,1129
ALMINO AFONSO,RN,4685,4145,3196,627
RAFAEL GODEIRO,RN,3214,3139,1889,983
ALTO DO RODRIGUES,RN,14923,9177,6989,1522
FERNANDO PEDROZA,RN,3081,2693,1793,663
ANGICOS,RN,11695,7672,4942,2043
SANTANA DO MATOS,RN,11808,9647,7044,1679
MAJOR SALES,RN,4102,2239,1771,315
PARANÁ,RN,4298,3526,2979,338
ANTÔNIO MARTINS,RN,7162,4854,3915,602
VENHA-VER,RN,4232,2929,2329,293
APODI,RN,35904,24760,17646,4412
SERRINHA DOS PINTOS,RN,4832,3424,2669,478
AREIA BRANCA,RN,28156,15885,10051,4134
PORTO DO MANGUE,RN,6605,5566,3959,1132
SANTA MARIA,RN,5689,3746,2560,918
CAMPO GRANDE,RN,9686,7089,4692,1747
RIO DO FOGO,RN,10961,8738,5104,2913
BAÍA FORMOSA,RN,9373,5652,3327,1806
BARCELONA,RN,3989,3763,2201,1254
JUNDIÁ,RN,3945,3471,2176,950
BENTO FERNANDES,RN,5552,4045,3026,725
BOM JESUS,RN,10323,7050,4295,2230
CAIÇARA DO RIO DO VENTO,RN,3745,3141,2200,714
BREJINHO,RN,12873,7661,4860,2010
MONTE ALEGRE,RN,22698,14128,8366,4402
CAICÓ,RN,68726,37163,23044,10816
CAMPO REDONDO,RN,11363,7080,5511,1059
CANGUARETAMA,RN,34814,19103,13523,3920
CARAÚBAS,RN,20588,15456,11418,2707
CARNAÚBA DOS DANTAS,RN,8297,4997,2535,1750
CARNAUBAIS,RN,10972,7220,5192,1342
CERRO CORÁ,RN,11182,6887,4974,1229
LAGOA NOVA,RN,15880,10608,7333,2291
CORONEL EZEQUIEL,RN,5501,3674,2609,662
CEARÁ-MIRIM,RN,74268,46552,31891,10602
CORONEL JOÃO PESSOA,RN,4918,3250,2507,450
CRUZETA,RN,7968,5457,3870,1084
